substrate,year,dfs_m_,depth_m_
Rock,2018,10,1.7
Rock,2018,5,1
Gravel,2018,20,1.6
Gravel,2018,30,2
Gravel,2018,50,3.1
Gravel,2018,10,1.6
Silt,2018,80,4
Sand,2018,0.5,1
Gravel,2018,5,0
Gravel,2018,60,2.6
Silt,2018,70,3.3
Rock,2018,0.5,0.2
Silt,2018,40,2.2
Silt,2018,80,0
Silt,2018,70,2
Gravel,2018,0.5,0.4
Silt,2018,60,2.4
Gravel,2018,5,1.2
Silt,2018,50,2.5
Sand,2018,10,2
Silt,2018,40,2.4
Silt,2018,30,2
Silt,2018,30,8
Sand,2018,20,1.6
Silt,2018,40,9.1
Sand,2018,10,1.7
Sand,2018,50,0.2
Silt,2018,80,9.5
Silt,2018,70,9.7
Silt,2018,60,9.5
Sand,2018,0.5,0.8
Sand,2018,5,1.6
Silt,2018,50,9.3
Muck,2019,80,3.3
Muck,2019,40,2.3
Muck,2019,80,5
Sand,2018,0.5,0.7
Sand,2018,5,1.3
Sand,2018,10,0
Sand,2018,20,1.5
Sand,2018,30,1.8
Sand,2018,40,1
Muck,2019,40,2.5
Muck,2019,50,2.4
Muck,2019,60,3
Muck,2019,70,3
Muck,2019,30,1.5
Muck,2019,5,0.4
Muck,2019,10,1
Muck,2019,20,1.3
Muck,2019,0.5,2
Muck,2019,30,1.4
Muck,2019,50,2.8
Muck,2019,5,0.6
Muck,2019,5,0.2
Muck,2019,10,1
Muck,2019,20,0
Sand,2019,50,2.3
Sand,2019,60,15
Sand,2019,80,1.8
Sand,2019,70,1.7
Muck,2019,70,4.2
Sand,2019,10,1
Sand,2019,30,1.6
Sand,2019,20,1.2
Sand,2019,40,2
Silt,2019,70,5.3
Sand,2019,0.5,0.2
Silt,2019,80,5.8
Sand,2019,5,0.5
Sand,2019,5,1
Sand,2019,10,1.3
Sand,2019,20,1.8
Gravel,2019,30,2.5
Gravel,2019,40,3
Silt,2019,50,3.5
Silt,2019,60,4.5
Gravel,2019,50,2
